Economy,Code,Year,Eating_disorders_Male,Eating_disorders_Female,All_gender
Cameroon,CMR,2019,0.08113451,0.14192502,0.111529765
Canada,CAN,2019,0.21635224,0.64474064,0.43054644
Cape Verde,CPV,2019,0.10030359,0.17685306,0.138578325
Central African Republic,CAF,2019,0.052249264,0.08959352,0.070921392
Chad,TCD,2019,0.07088679,0.1234541,0.097170445
Chile,CHL,2019,0.21355517,0.5064354,0.359995285
China,CHN,2019,0.09687373,0.12975559,0.11331466
Colombia,COL,2019,0.13636501,0.30479327,0.22057914
Comoros,COM,2019,0.06538456,0.11360376,0.0894941599999999
Congo,COG,2019,0.09365423,0.1641231,0.128888665
Cook Islands,COK,2019,0.11686268,0.19204482,0.15445375
Costa Rica,CRI,2019,0.13457964,0.33400655,0.234293095
Cote d'Ivoire,CIV,2019,0.08356285,0.14677554,0.115169195
Croatia,HRV,2019,0.11230686,0.22915767,0.170732265
Cuba,CUB,2019,0.11502892,0.27268842,0.19385867
Cyprus,CYP,2019,0.20612112,0.6159742,0.41104766
Czechia,CZE,2019,0.124289304,0.26391938,0.1941043419999999
Democratic Republic of Congo,COD,2019,0.054672603,0.09517097,0.0749217865
Denmark,DNK,2019,0.2303175,0.72212243,0.4762199649999999
Djibouti,DJI,2019,0.081589654,0.14235866,0.1119741569999999
Dominica,DMA,2019,0.12310669,0.2936269,0.208366795
Dominican Republic,DOM,2019,0.13582641,0.32593435,0.23088038
East Timor,TLS,2019,0.07425121,0.11552967,0.0948904399999999
Ecuador,ECU,2019,0.122781135,0.44424853,0.2835148325
Egypt,EGY,2019,0.1392337,0.261924,0.2005788499999999
El Salvador,SLV,2019,0.11247393,0.2742685,0.193371215
Equatorial Guinea,GNQ,2019,0.15433833,0.27970335,0.21702084
Eritrea,ERI,2019,0.06444342,0.11206973,0.088256575
Estonia,EST,2019,0.119171545,0.23457591,0.1768737275
Eswatini,SWZ,2019,0.10755027,0.19138567,0.14946797
Ethiopia,ETH,2019,0.06434962,0.107724935,0.0860372775
Europe (IHME GBD),,2019,0.16919799,0.48495167,0.32707483
European Union (27),,2019,0.20344388,0.6301249,0.41678439
Fiji,FJI,2019,0.08061777,0.13201718,0.106317475
Finland,FIN,2019,0.22374219,0.75419205,0.48896712
France,FRA,2019,0.23492251,0.7028984,0.468910455
Gabon,GAB,2019,0.12962419,0.23085833,0.18024126
Gambia,GMB,2019,0.06689385,0.116988406,0.091941128
Georgia,GEO,2019,0.092021435,0.1645386,0.1282800175
Germany,DEU,2019,0.23432083,0.63605124,0.435186035
Ghana,GHA,2019,0.08464108,0.14839971,0.116520395
Greece,GRC,2019,0.20948762,0.6533635,0.43142556
Greenland,GRL,2019,0.25801036,0.7577161,0.50786323
Grenada,GRD,2019,0.13384011,0.32027897,0.22705954
Guam,GUM,2019,0.13898633,0.23128982,0.185138075
Guatemala,GTM,2019,0.10815333,0.26096386,0.184558595
Guinea,GIN,2019,0.06641251,0.1162931,0.091352805
Guinea-Bissau,GNB,2019,0.06363612,0.11077909,0.087207605
Guyana,GUY,2019,0.1105688,0.26349154,0.18703017
Haiti,HTI,2019,0.072793595,0.16749774,0.1201456675
High-income countries,,2019,0.22996835,0.6162839,0.423126125
Honduras,HND,2019,0.09616236,0.2319692,0.16406578
Hungary,HUN,2019,0.11218407,0.2576698,0.184926935
Iceland,ISL,2019,0.22907485,0.6934209,0.461247875
India,IND,2019,0.097441,0.16314608,0.1302935399999999
