Economy,Code,Year,Learning-Adjusted Years of School,average_learning_Adjusted_of_school
Afghanistan,AFG,2017,4.87,4.957541966666667
Africa,,2017,4.931378,5.058633933333333
Albania,ALB,2010,7.3824778,8.52672295
Algeria,DZA,2010,7.2022004,7.0454454
Angola,AGO,2017,4.11,4.193318466666667
Antigua and Barbuda,ATG,2018,8.093484,8.268953
Argentina,ARG,2010,8.238216,8.564665
Armenia,ARM,2017,7.86,7.9750103333333335
Asia,,2017,7.8252707,7.964620233333334
Australia,AUS,2010,11.056325,11.3095125
Austria,AUT,2010,10.845024,11.17420425
Azerbaijan,AZE,2010,6.878968,8.3209925
Bahrain,BHR,2010,8.422845,9.20713125
Bangladesh,BGD,2017,6.5,6.1624118999999995
Belarus,BLR,2020,10.784273,10.784273
Belgium,BEL,2010,11.161227,11.18121725
Benin,BEN,2010,4.9740124,5.50353725
Bhutan,BTN,2020,6.3267903,6.3267903
Bosnia and Herzegovina,BIH,2017,8.64,8.36014
Botswana,BWA,2010,5.109524,5.134273125
Brazil,BRA,2010,7.648079,7.731433125000001
Brunei,BRN,2020,9.218924,9.218924
Bulgaria,BGR,2010,9.222812,9.50013525
Burkina Faso,BFA,2010,3.1555173,4.060066075
Burundi,BDI,2010,4.3617525,4.996527325
Cambodia,KHM,2017,6.9,6.866099000000001
Cameroon,CMR,2010,5.451394,5.38179825
Canada,CAN,2010,11.427462,11.669024
Central African Republic,CAF,2020,2.6961548,2.6961548
Chad,TCD,2010,2.7752626,2.7796099
Chile,CHL,2010,9.021066,9.421827
China,CHN,2017,9.67,9.370473
Colombia,COL,2010,8.228467,8.457845
Comoros,COM,2017,5.3,5.164583233333333
Congo,COG,2010,5.595566,5.34644985
Costa Rica,CRI,2010,8.448671,8.630603749999999
Cote d'Ivoire,CIV,2010,3.0248766,4.1493244
Croatia,HRV,2010,10.321753,10.581901
Cyprus,CYP,2010,9.809347,10.628381749999999
Czechia,CZE,2010,10.843941,11.23656125
Democratic Republic of Congo,COD,2017,4.67,4.5781838
Denmark,DNK,2010,11.091454,11.2461255
Dominica,DMA,2018,8.159858,8.084365
Dominican Republic,DOM,2017,6.33,6.523497233333333
East Timor,TLS,2010,5.5983944,6.0110742
Ecuador,ECU,2010,7.336009,8.4116885
Egypt,EGY,2010,6.486408,6.465084675
El Salvador,SLV,2017,6.55,7.2737407
Estonia,EST,2010,11.240217,11.503134124999999
Eswatini,SWZ,2010,4.089244,4.72002585
Ethiopia,ETH,2017,4.51,4.449270633333334
Europe,,2010,10.595933,10.927006375
European Union (27),,2010,10.847823,10.960650625
Fiji,FJI,2020,6.951136,6.951136
Finland,FIN,2010,12.208893,12.01130775
France,FRA,2010,11.24583,11.246850875
Gabon,GAB,2017,6.03,6.026618
Gambia,GMB,2010,4.263064,4.8704174
Georgia,GEO,2010,7.8855686,8.5481889
Germany,DEU,2010,11.262253,11.32508025
Ghana,GHA,2017,5.7,5.828553433333333
Greece,GRC,2010,10.464372,10.0679275
Grenada,GRD,2018,7.741019,8.007303499999999
Guatemala,GTM,2010,6.0727935,6.21535305
Guinea,GIN,2017,4.54,4.573374866666667
Guyana,GUY,2017,6.69,6.738832933333334
Haiti,HTI,2017,6.29,6.1965736
