Economy,Code,Year,Learning-Adjusted Years of School,average_learning_Adjusted_of_school
High-income countries,,2010,10.798922,10.967589
Honduras,HND,2017,6.38,6.215869333333333
Hong Kong,HKG,2010,11.556189,11.8890475
Hungary,HUN,2010,10.68446,10.597114625
Iceland,ISL,2010,10.965888,10.75981825
India,IND,2017,5.78,6.602306
Indonesia,IDN,2010,7.230374,7.730680575
Iran,IRN,2010,7.9503584,8.101320600000001
Iraq,IRQ,2017,4.0,4.011745133333333
Ireland,IRL,2010,11.299463,11.663457000000001
Israel,ISR,2010,10.416695,10.792658
Italy,ITA,2010,10.928949,10.857920499999999
Jamaica,JAM,2017,7.25,7.159996566666667
Japan,JPN,2010,12.002888,12.08065775
Jordan,JOR,2010,7.877404,7.675234725
Kazakhstan,KAZ,2010,8.998002,10.34822775
Kenya,KEN,2017,7.79,8.224409999999999
Kiribati,KIR,2017,7.09,7.114809666666666
Kosovo,OWID_KOS,2017,7.7,7.826569
Kuwait,KWT,2010,7.7299128,7.5435082
Kyrgyzstan,KGZ,2017,8.44,8.576515333333333
Laos,LAO,2017,6.39,6.317242
Latvia,LVA,2010,10.714331,11.13012675
Lebanon,LBN,2017,6.83,6.581627466666667
Lesotho,LSO,2010,5.3775744,5.8764191
Liberia,LBR,2017,2.34,2.2510016
Lithuania,LTU,2010,10.953849,11.116682
Low-income countries,,2017,4.3151164,4.320189033333333
Lower-middle-income countries,,2017,6.2626147,6.6563877666666675
Luxembourg,LUX,2010,10.184711,9.955031
Macao,MAC,2010,9.175985,10.70559625
Madagascar,MDG,2010,5.1180897,4.683742925000001
Malawi,MWI,2010,5.1356025,5.38558415
Malaysia,MYS,2010,8.286579,8.90544475
Mali,MLI,2017,2.74,2.726247066666667
Malta,MLT,2010,9.726167,10.04822875
Marshall Islands,MHL,2018,5.0962,5.377844
Mauritania,MRT,2017,3.42,3.892280233333333
Mauritius,MUS,2010,9.054855,9.34205375
Mexico,MEX,2010,8.503864,8.695216
Micronesia (country),FSM,2018,6.2033944,6.6948732
Moldova,MDA,2010,7.9066463,8.164002075
Mongolia,MNG,2017,9.45,9.265464666666666
Montenegro,MNE,2010,8.023244,8.549316625
Morocco,MAR,2010,5.7517395,6.08735905
Mozambique,MOZ,2017,4.39,4.393355666666667
Myanmar,MMR,2017,6.7,6.720631999999999
Namibia,NAM,2010,5.4058714,5.8666886
Nauru,NRU,2020,6.5116167,6.5116167
Nepal,NPL,2017,6.89,7.0754132
Netherlands,NLD,2010,11.739408,11.687316
New Zealand,NZL,2010,11.5202,11.3734945
Nicaragua,NIC,2017,7.26,6.918482
Niger,NER,2017,2.61,2.6615173333333333
Nigeria,NGA,2017,4.25,4.7755616666666665
North America,,2018,9.877383,9.8100915
North Macedonia,MKD,2010,7.052856,6.99650825
Norway,NOR,2010,11.301275,11.24616525
Oceania,,2018,9.918344,9.8397595
Oman,OMN,2010,7.4834166,8.4403804
Pakistan,PAK,2017,4.78,4.975018566666667
Palau,PLW,2018,8.249453,8.4708445
Palestine,PSE,2017,7.5,7.811710333333333
Panama,PAN,2010,6.9109573,6.848395925
Papua New Guinea,PNG,2017,4.71,5.538932466666666
Paraguay,PRY,2010,6.9451528,6.9995312
Peru,PER,2010,7.7179785,8.269482625
Philippines,PHL,2017,8.37,8.069764666666666
Poland,POL,2010,10.688769,11.230199
Portugal,PRT,2010,11.013366,11.33677625
Qatar,QAT,2010,7.963889,8.49420125
Romania,ROU,2010,8.935521,8.6819955
Russia,RUS,2010,9.808328,11.095674
Rwanda,RWA,2017,3.75,3.854294133333333
Saint Kitts and Nevis,KNA,2018,8.18676,8.332255499999999
Saint Lucia,LCA,2018,8.201881,8.34110525
Saint Vincent and the Grenadines,VCT,2018,7.798963,7.754846499999999
Samoa,WSM,2018,6.6519566,6.9485626499999995
Saudi Arabia,SAU,2010,7.4291887,7.8559139
Senegal,SEN,2010,4.5150957,4.749384275000001
Serbia,SRB,2010,9.430452,10.385851
Seychelles,SYC,2010,8.550605,9.51637525
Sierra Leone,SLE,2017,4.52,4.677365133333333
Singapore,SGP,2010,12.450817,12.775495
Slovakia,SVK,2010,10.243245,10.131256
Slovenia,SVN,2010,11.185949,11.4454845
Solomon Islands,SLB,2017,5.34,5.010249666666667
South Africa,ZAF,2010,6.2357073,5.629781075
South America,,2010,7.8458357,8.07337955
South Korea,KOR,2010,12.246545,12.1045655
South Sudan,SSD,2017,2.28,2.4342308666666668
Spain,ESP,2010,10.266474,10.556033750000001
Sri Lanka,LKA,2017,8.3,8.378769333333333
Sudan,SDN,2017,4.42,4.340359
Sweden,SWE,2010,11.119785,11.51992925
Switzerland,CHE,2010,11.223486,11.099922
Tajikistan,TJK,2017,7.67,7.392325666666667
Tanzania,TZA,2017,4.82,4.593022866666667
Thailand,THA,2010,8.45008,8.65723525
Togo,TGO,2010,4.5438156,5.449096825
Tonga,TON,2017,6.55,6.845198533333334
Trinidad and Tobago,TTO,2010,8.134325,8.87398525
Tunisia,TUN,2010,6.803711,6.4840055
Turkey,TUR,2010,9.119613,9.027996
Tuvalu,TUV,2017,7.36,6.388861133333333
Uganda,UGA,2010,3.9197464,4.259444
Ukraine,UKR,2010,10.271507,10.116764
United Arab Emirates,ARE,2010,8.794636,9.41192425
United Kingdom,GBR,2010,11.32212,11.44935075
United States,USA,2010,10.35244,10.70723875
Upper-middle-income countries,,2010,8.286774,8.82893525
Uruguay,URY,2010,8.48609,8.516982
Uzbekistan,UZB,2020,9.133364,9.133364
Vanuatu,VUT,2017,6.06,5.684792833333333
Vietnam,VNM,2010,10.082015,10.40389975
Yemen,YEM,2017,4.13,4.1625076666666665
Zambia,ZMB,2017,5.25,5.102845333333334
Zimbabwe,ZWE,2010,6.8357744,6.7997488
