Code,Ranking,Economy,GDP(2022)
VIR,167.0,Virgin Islands (U.S.),4204.0
LBR,168.0,Liberia,4001.0
SLE,169.0,Sierra Leone,3970.0
FRO,170.0,Faroe Islands,3650.0
SUR,171.0,Suriname,3621.0
DJI,172.0,Djibouti,3515.0
AND,173.0,Andorra,3352.0
GRL,174.0,Greenland,3236.0
TLS,175.0,Timor-Leste,3163.0
ABW,176.0,Aruba,3126.0
BDI,177.0,Burundi,3073.0
BLZ,178.0,Belize,2824.0
CUW,179.0,Curaçao,2700.0
LSO,180.0,Lesotho,2553.0
BTN,181.0,Bhutan,2540.0
CAF,182.0,Central African Republic,2383.0
CPV,183.0,Cabo Verde,2315.0
GMB,184.0,"Gambia, The",2273.0
LCA,185.0,St. Lucia,2065.0
SMR,186.0,San Marino,1855.0
ATG,187.0,Antigua and Barbuda,1758.0
GNB,188.0,Guinea-Bissau,1634.0
SLB,189.0,Solomon Islands,1596.0
SYC,190.0,Seychelles,1588.0
SXM,191.0,Sint Maarten (Dutch part),1572.0
GRD,192.0,Grenada,1256.0
COM,193.0,Comoros,1243.0
TCA,194.0,Turks and Caicos Islands,1139.0
VUT,195.0,Vanuatu,984.0
KNA,196.0,St. Kitts and Nevis,962.0
VCT,197.0,St. Vincent and the Grenadines,949.0
MNP,198.0,Northern Mariana Islands,858.0
WSM,199.0,Samoa,832.0
ASM,200.0,American Samoa,709.0
DMA,201.0,Dominica,612.0
STP,202.0,São Tomé and Principe,547.0
TON,203.0,Tonga,469.0
FSM,204.0,"Micronesia, Fed. Sts.",427.0
MHL,205.0,Marshall Islands,280.0
KIR,206.0,Kiribati,223.0
PLW,207.0,Palau,218.0
NRU,208.0,Nauru,151.0
TUV,209.0,Tuvalu,60.0
VGB,,British Virgin Islands,
ERI,,Eritrea,
GIB,,Gibraltar,
PRK,,"Korea, Dem. People's Rep.",
SSD,,South Sudan,
MAF,,St. Martin (French part),
VEN,,"Venezuela, RB",
YEM,,"Yemen, Rep.",
WLD,,World,101002997.0
EAS,,East Asia & Pacific,30655246.0
ECS,,Europe & Central Asia,25192038.0
LCN,,Latin America & Caribbean,6748778.0
MEA,,Middle East & North Africa,4414423.0
NAC,,North America,27610091.0
SAS,,South Asia,4361631.0
SSF,,Sub-Saharan Africa,2047347.0
LIC,,Low income,521634.0
LMC,,Lower middle income,8109650.0
UMC,,Upper middle income,30495972.0
HIC,,High income,61535769.0
